Time,Symbol,Side,Price,Qty,Route,Broker,Account,Type,Cloid,
08:26:01,ASST,SS,9.69,300,PDQ,ARCX,10103688,Short,Q2505210010021,
08:26:42,ASST,B,9.54,150,PDQ,ARCX,10103688,Margin,Q2505210010036,
08:31:42,ASST,B,9.44,2,LAMP,LAMP,10103688,Margin,S2505210004187,
08:32:53,ASST,B,9.44,148,LAMP,LAMP,10103688,Margin,S2505210004187,
08:35:25,ASST,SS,9.39,50,LAMP,LAMP,10103688,Short,S2505210004316,
08:35:31,ASST,SS,9.39,2,LAMP,LAMP,10103688,Short,S2505210004316,
08:35:39,ASST,SS,9.39,243,LAMP,LAMP,10103688,Short,S2505210004316,
08:35:41,ASST,SS,9.39,5,LAMP,LAMP,10103688,Short,S2505210004316,
08:37:05,ASST,B,9.9,300,LAMP,LAMP,10103688,Margin,S2505210004364,
08:44:21,ASST,B,10.02,300,PDQ,ARCX,10103688,Margin,Q2505210010849,
08:48:13,ASST,SS,9.95,400,PDQ,,10103688,Short,Q2505210011317,
08:48:13,ASST,B,9.96,1,PDQ,ARCX,10103688,Margin,Q2505210011227,
08:48:13,ASST,SS,9.95,95,PDQ,,10103688,Short,Q2505210011317,
08:48:14,ASST,SS,9.95,106,PDQ,,10103688,Short,Q2505210011317,
08:51:00,ASST,B,9.83,100,PDQ,ARCX,10103688,Margin,Q2505210011426,
08:58:07,ASST,B,10.3297,15,PDQ,,10103688,Margin,Q2505210011756,
08:58:07,ASST,B,10.3297,32,PDQ,,10103688,Margin,Q2505210011756,
08:58:07,ASST,B,10.3497,12,PDQ,,10103688,Margin,Q2505210011756,
08:58:07,ASST,B,10.3697,10,PDQ,,10103688,Margin,Q2505210011756,
08:58:07,ASST,B,10.3697,5,PDQ,,10103688,Margin,Q2505210011756,
08:58:07,ASST,B,10.3697,33,PDQ,,10103688,Margin,Q2505210011756,
08:58:07,ASST,B,10.3697,93,PDQ,,10103688,Margin,Q2505210011756,
